Movimientos Conformados;;;;;
Fecha consulta:;27/04/2020;;;;
Hora consulta:;13:51;;;;
Usuario:;EDUARDO ALEJANDRO QUATTROCCHI;;;;
;;;;;
Par?metros de b?squeda:;Cuenta: 03 - CC $ 00460008727626 | Fecha desde 01/04/2020 hasta 27/04/2020 | Movimiento: D?bitos y Cr?ditos | Monto: Todos los montos;;;;
;;;;;
Fecha Mvto;Fecha Valor;Monto;Referencia;Concepto;Saldo
13/04/2020;13/04/2020;-854,92;0000007921317;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-312,02;0000020041301;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-34,77;0000000002268;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-1.160,90;0000000003953;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-43,33;0000000006448;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-5,53;0000000068823;GRAVAMEN LEY 25413 S/DEB                          ;6.657.264,65
14/04/2020;14/04/2020;56.127,47;0000004101370;TRANS30708620579PROBYP S.A.                       ;
14/04/2020;14/04/2020;122.560,51;0000001001564;TRANS30693184947MEDITERRANEAN SHIPPING COMPAN     ;
14/04/2020;14/04/2020;81.706,96;0000001001615;TRANS30693184947MEDITERRANEAN SHIPPING COMPAN     ;
14/04/2020;14/04/2020;14.756,04;0000000207821;TRANS33677974759AGENCIA MARITIMA MAREAS SA        ;
14/04/2020;14/04/2020;88.686,36;0000002491497;TRANS30590162279MARITIMA HEINLEIN SA              ;
14/04/2020;14/04/2020;133.029,54;0000002491752;TRANS30590162279MARITIMA HEINLEIN SA              ;
14/04/2020;14/04/2020;8.986,17;0000004085042;TRANS30506724992CENTRO DE NAVEGA                  ;
14/04/2020;14/04/2020;451.320,82;0000000609301;CR.TR. VARIOS-V-SUC 0001                          ;
14/04/2020;14/04/2020;12.134,64;0000000609421;CR.TR. VARIOS-V-SUC 0001                          ;
14/04/2020;14/04/2020;16.473,27;0000004118396;TRANS30571859927ANTONIO MARIA DE                  ;
14/04/2020;14/04/2020;21.383,22;0000001110125;TRANS30657245700COMPANIA NAVIERA HORAMAR SA       ;
14/04/2020;14/04/2020;25.230,20;0000001005711;TRANS30709513490ANTARES SERVICIOS MARITIMOS S     ;
14/04/2020;14/04/2020;149.034,39;0000000097508;DEP.P/T.INT.M.M-BANE                              ;
